GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,gr2310.ourplace.core,Post,0,70,0,0,0,25,0,14,0,14
core,gr2310.ourplace.core,FeedSort,0,27,0,0,0,5,0,1,0,1
core,gr2310.ourplace.core,Feed,5,30,1,2,2,10,2,4,1,3
core,gr2310.ourplace.json,FileManager,13,67,1,1,7,17,2,4,1,4
core,gr2310.ourplace.json,FileManager.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
